status	source_video	result_video	artifacts_dir	data_dir	track_id	frame_count	kept	avg_bbox_area	avg_confidence	first_frame_idx	last_frame_idx	quality_pass	quality_note	error
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0067	2	0	11748.14	0.6058	337	338	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0068	4	0	11347.00	0.5806	338	342	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0069	4	0	11719.44	0.6110	339	343	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0070	4	0	11878.62	0.6033	341	345	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0071	4	0	12070.83	0.6313	343	347	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0072	172	1	73971.02	0.8190	364	540	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0073	162	1	102412.68	0.8467	369	535	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0074	111	1	75930.23	0.7553	377	489	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0075	174	1	97990.51	0.7392	384	595	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0076	178	1	162734.43	0.8322	390	598	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0077	2	0	15328.23	0.3790	415	416	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0078	122	1	193284.80	0.7983	415	536	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0079	131	1	106755.25	0.7734	428	588	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0080	2	0	15171.88	0.3874	442	443	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0081	16	0	61392.44	0.6661	485	500	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0082	58	1	370128.26	0.7606	508	577	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0083	39	1	112926.53	0.8389	513	551	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0084	1	0	43522.12	0.3672	513	513	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0085	1	0	8688.38	0.3633	515	515	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0086	6	0	9074.62	0.4720	520	525	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0087	2	0	6320.08	0.4814	521	528	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0088	2	0	8676.94	0.4668	524	525	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0089	3	0	33202.41	0.5195	530	535	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0090	9	0	16060.88	0.4073	532	547	0	too_short	
